channel,media_units,distribution,ci_hi,ci_lo,mean,channel_type,scaled_count_histogram,count_histogram,start_interval_histogram,end_interval_histogram
Google Paid Search,8445.310546875,posterior,0.8315675,0.6182972,0.7273588,media,,,,
Google Paid Search,8445.310546875,prior,0.93481785,0.6355064,0.78400004,media,,,,
Google Paid Search,8565.9580078125,posterior,0.83354497,0.6216392,0.73010296,media,,,,
Google Paid Search,8565.9580078125,prior,0.9356768,0.6387857,0.7862758,media,,,,
Google Paid Search,8686.60546875,posterior,0.8354764,0.62492317,0.7327929,media,,,,
Google Paid Search,8686.60546875,prior,0.9365134,0.6420066,0.7885037,media,,,,
Google Paid Search,8807.2529296875,posterior,0.83736366,0.62815064,0.7354274,media,,,,
Google Paid Search,8807.2529296875,prior,0.93732864,0.6451705,0.7906855,media,,,,
Google Paid Search,8927.8994140625,posterior,0.83920807,0.63132304,0.73801064,media,,,,
Google Paid Search,8927.8994140625,prior,0.93812317,0.64827895,0.79282135,media,,,,
Google Paid Search,9048.546875,posterior,0.8410111,0.6344417,0.7405433,media,,,,
Google Paid Search,9048.546875,prior,0.9388978,0.6513335,0.79491425,media,,,,
Google Paid Search,9169.1943359375,posterior,0.8427742,0.6375082,0.7430279,media,,,,
Google Paid Search,9169.1943359375,prior,0.9396532,0.6543354,0.7969648,media,,,,
Google Paid Search,9289.841796875,posterior,0.8444986,0.6405235,0.74546486,media,,,,
Google Paid Search,9289.841796875,prior,0.9403902,0.6572861,0.7989744,media,,,,
Google Paid Search,9410.4892578125,posterior,0.8461855,0.6434892,0.7478547,media,,,,
Google Paid Search,9410.4892578125,prior,0.9411095,0.66018677,0.8009441,media,,,,
Google Paid Search,9531.13671875,posterior,0.84783626,0.6464063,0.75020015,media,,,,
Google Paid Search,9531.13671875,prior,0.94181156,0.66303885,0.8028747,media,,,,
Google Paid Search,9651.783203125,posterior,0.84945196,0.64927596,0.7525029,media,,,,
Google Paid Search,9651.783203125,prior,0.9424971,0.66584337,0.8047678,media,,,,
Google Paid Search,9772.4306640625,posterior,0.8510337,0.65209955,0.7547628,media,,,,
Google Paid Search,9772.4306640625,prior,0.9431666,0.6686016,0.80662495,media,,,,
Google Paid Search,9893.078125,posterior,0.8525825,0.65487796,0.756982,media,,,,
Google Paid Search,9893.078125,prior,0.9438208,0.67131466,0.80844694,media,,,,
Google Paid Search,10013.7255859375,posterior,0.8540995,0.65761244,0.7591606,media,,,,
Google Paid Search,10013.7255859375,prior,0.9444601,0.6739837,0.8102344,media,,,,
Google Paid Search,10134.373046875,posterior,0.8555856,0.66030383,0.7613003,media,,,,
Google Paid Search,10134.373046875,prior,0.9450849,0.67660975,0.8119886,media,,,,
Google Paid Search,10255.0205078125,posterior,0.8570417,0.6629533,0.7634023,media,,,,
Google Paid Search,10255.0205078125,prior,0.9456959,0.67919374,0.8137102,media,,,,
Google Paid Search,10375.66796875,posterior,0.8584688,0.66556174,0.7654664,media,,,,
