DATE_DAY,ALL_PURCHASES,ALL_PURCHASES_ORIGINAL_PRICE,REVENUE_PER_PURCHASE,GOOGLE_PAID_SEARCH_IMPRESSIONS,GOOGLE_SHOPPING_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_VIDEO_IMPRESSIONS,META_FACEBOOK_IMPRESSIONS,META_INSTAGRAM_IMPRESSIONS,GOOGLE_PAID_SEARCH_SPEND,GOOGLE_SHOPPING_SPEND,GOOGLE_PMAX_SPEND,GOOGLE_VIDEO_SPEND,META_FACEBOOK_SPEND,META_INSTAGRAM_SPEND,TREND,DOW_Friday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,YEAR_SIN_1,YEAR_COS_1,YEAR_SIN_2,YEAR_COS_2,BLACK_FRIDAY_PERIOD,LOG_ORGANIC_SEARCH_CLICKS,LOG_EMAIL_CLICKS,LOG_REFERRAL_CLICKS,LOG_ALL_OTHER_CLICKS,DATA_SPLIT
2021-01-20,112,11423.003689166,101.99110436755358,1669.0,1994927.0,0.0,0.0,380815.0,0.0,103.618497741,1211.08,0.0,0.0,3345.19768548,0.0,0.047058823529411764,0,0,0,0,0,1,0.8584015232918917,0.512978386299228,0.8806828564301475,-0.47370635037968,0,0.0,0.0,0.0,0.0,Train
2021-01-21,131,11916.999658227,90.96946303990076,1575.0,1113715.0,0.0,0.0,371506.0,0.0,106.795907637,1194.9,0.0,0.0,3479.983826897,0.0,0.04784313725490196,0,0,0,1,0,0,0.8670985522812081,0.4981366284784055,0.8638670987837349,-0.503719798736334,0,0.0,0.0,0.0,0.0,Train
2021-01-22,106,11865.999491484,111.94339142909435,1282.0,425494.0,0.0,0.0,356317.0,0.0,67.576992797,591.66,0.0,0.0,3580.977408827,0.0,0.04862745098039216,1,0,0,0,0,0,0.8755389928586302,0.4831474640149687,0.8460288880917339,-0.533137056031809,0,0.0,0.0,0.0,0.0,Train
2021-01-23,120,12678.015997591,105.65013331325832,1537.0,99251.0,0.0,0.0,369903.0,0.0,80.010938828,296.350030364,0.0,0.0,3881.424812014,0.0,0.04941176470588235,0,1,0,0,0,0,0.8837203473619977,0.4680153284438345,0.8271893372462497,-0.5619233046832195,0,0.0,0.0,0.0,0.0,Train
2021-01-24,137,14227.024888395,103.84689699558395,1679.0,162090.0,0.0,0.0,332666.0,0.0,103.504254552,555.11,0.0,0.0,3699.295525415,0.0,0.05019607843137255,0,0,1,0,0,0,0.8916401947968874,0.45274469960737107,0.8073707443023492,-0.5900444739548627,0,0.0,0.0,0.0,0.0,Train
2021-01-25,122,11071.984113477,90.7539681432541,1306.0,222250.0,0.0,0.0,367385.0,0.0,72.901119536,668.41,0.0,0.0,3810.632491027,0.0,0.050980392156862744,0,0,0,0,0,0,0.8992961915530253,0.4373400963303323,0.7865965660866021,-0.6174672802835514,0,0.0,0.0,0.0,0.0,Train
2021-01-26,115,12216.002065607,106.22610491832174,0.0,42549.0,0.0,0.0,337624.0,0.0,0.0,96.116652709,0.0,0.0,3865.480291863,0.0,0.05176470588235294,0,0,0,0,1,0,0.9066860720977985,0.4218060770826634,0.7648913904341226,-0.6441592666722685,0,0.0,0.0,0.0,0.0,Train
2021-01-27,170,15714.003970293,92.43531747231177,0.0,14329.0,0.0,0.0,350136.0,0.0,0.0,53.3,0.0,0.0,3825.642336445,0.0,0.05254901960784314,0,0,0,0,0,1,0.9138076496466615,0.40614723863057883,0.742280907086982,-0.6700888411055113,0,0.0,0.0,0.0,0.0,Train
2021-01-28,133,12883.001318349,96.86467156653383,0.0,23024.0,0.0,0.0,309167.0,0.0,0.0,99.68,0.0,0.0,3846.741139663,0.0,0.05333333333333334,0,0,0,1,0,0,0.9206588168102428,0.3903682146763026,0.7187918772884232,-0.6952253139408722,0,0.0,0.0,0.0,0.0,Train
2021-01-29,110,12842.988898859,116.75444453508182,0.0,35386.0,0.0,0.0,303648.0,0.0,0.0,109.35,0.0,0.0,4010.409928387,0.0,0.05411764705882353,1,0,0,0,0,0,0.9272375462179537,0.374473674486883,0.6944521021088763,-0.719538934232584,0,0.0,0.0,0.0,0.0,Train
2021-01-30,151,15370.004369382,101.78810840650331,0.0,28509.0,0.0,0.0,339049.0,0.0,0.0,103.3,0.0,0.0,4017.480969506,0.0,0.054901960784313725,0,1,0,0,0,0,0.9335418911179212,0.35846832151248087,0.6692903895412567,-0.7430009249440493,0,0.0,0.0,0.0,0.0,Train
2021-01-31,170,16209.011290372,95.34712523748236,0.0,22217.0,0.0,0.0,408630.0,0.0,0.0,89.13,0.0,0.0,4053.995971171,0.0,0.05568627450980392,0,0,1,0,0,0,0.9395699859530622,0.342356891994542,0.6433365204044917,-0.765583517007675,0,0.0,0.0,0.0,0.0,Train
